日期,确诊,治愈,死亡,新增确诊
1.26,2787,57,83,762
1.27,4579,70,109,1774
1.28,6068,116,135,1427
1.29,7825,138,173,1737
1.30,9778,205,216,1952
1.31,11843,277,261,2114
2.1,14498,370,307,2592
2.2,17345,528,364,2847
2.3,20594,709,428,3267
2.4,24498,979,495,3909
2.5,28936,1393,568,3686
2.6,32414,1803,645,3145
2.7,35935,2379,731,3428
2.8,38652,3378,820,2636
2.9,41666,4373,918,3064
2.10,44120,5230,1026,2488
2.11,45698,5662,1117,2013
2.12,59804,5914,1366,15145
2.13,63853,6728,1380,5099
2.14,66492,8093,1523,2639
2.15,68500,9420,1665,2008
2.16,70549,10852,1770,2047
2.17,72436,12553,1868,1887
2.18,74185,14377,2004,1749
2.19,75002,16156,2118,820
2.20,75891,18265,2236,889
2.21,76288,20660,2345,397
2.22,76936,22889,2442,648
2.23,77150,24735,2592,409
2.24,77658,27324,2663,508
2.25,78064,29746,2715,406
2.26,78497,32496,2744,433
2.27,78824,36116,2788,327
2.28,79251,39002,2835,427
2.29,79824,41625,2870,573
3.1,80025,44462,2912,201
3.2,80151,47208,2944,125
3.3,80270,49859,2981,119
3.4,80409,52045,3013,139
3.5,80552,53726,3042,143
3.6,80651,55404,3070,99
3.7,80695,57066,3097,44
3.8,80735,58600,3119,40
3.9,80754,59897,3136,19
3.10,80778,61476,3158,24
3.11,80793,62793,3169,15
3.12,80801,64111,3176,8
3.13,80824,65541,3189,11
3.14,80844,66911,3199,20
3.15,80860,67750,3213,16
3.16,80881,68679,3226,21
3.17,80894,69601,3237,13
3.18,80942,70424,3245,39
3.19,80975,71153,3248,33
3.20,81018,71744,3255,43
3.21,81074,72247,3261,56
3.22,81126,72704,3270,52
3.23,81194,73161,3277,70
3.24,81248,73652,3281,52
3.25,81306,74052,3287,58
3.26,81367,74592,3292,61
3.27,81419,74979,3295,52
3.28,81470,75450,3300,51
3.29,81497,75772,3304,27
3.30,81541,76056,3305,44
3.31,81566,76246,3312,25
4.1,81597,76411,3318,31
4.2,81626,76582,3322,29
4.3,81654,76751,3326,25
4.4,81686,76977,3329,33
4.5,81719,77088,3331,33
4.6,81777,77182,3331,58
4.7,81839,77300,3333,62
4.8,81934,77385,3335,95
4.9,81973,77470,3336,39
4.10,82009,77546,3339,36
4.11,82093,77597,3339,93
4.12,82172,77687,3341,79
4.13,82254,77755,3341,82
4.14,82303,77835,3342,49
4.15,82348,77906,3342,45
4.16,82370,77956,3342,22
4.17,82721,77041,4632,26
4.18,82737,77070,4632,16
4.19,82748,77095,4632,11
4.20,82782,77139,4632,34
4.21,82796,77171,4632,14
4.22,82803,77238,4632,7
4.23,82809,77300,4632,6
4.24,82822,77386,4632,13
4.25,82830,77423,4632,8
4.26,82833,77502,4633,3
4.27,82859,77571,4633,26
4.28,82860,77589,4633,1
4.29,82863,77624,4633,3
4.30,82874,77652,4633,11
5.1,82875,77698,4633,1
5.2,82877,77732,4633,2
5.3,82880,77784,4633,3
5.4,82881,77872,4633,1
5.5,82884,77928,4633,3
5.6,82892,77973,4633,8
5.7,82894,78010,4633,2
5.8,82895,78061,4633,1
5.9,82910,78127,4633,15
5.10,82919,78152,4633,9
5.11,82919,78179,4633,0
5.12,82926,78196,4633,7
5.13,82933,78201,4633,7
5.14,82941,78211,4633,8
5.15,82950,78219,4633,9
5.16,82955,78230,4634,4
5.17,82958,78241,4634,3
5.18,82961,78244,4634,3
5.19,82966,78247,4634,5
5.20,82977,78254,4634,11
5.21,82986,78260,4634,9
5.22,82987,78264,4634,1
5.23,82989,78268,4634,2
5.24,82990,78272,4634,1
5.25,82992,78279,4634,2
5.26,82993,78282,4634,1
5.27,82998,78290,4634,5
5.28,82999,78297,4634,1
5.29,83002,78305,4634,1
5.30,83006,78310,4634,4
5.31,83019,78313,4634,2
6.1,83023,78319,4634,4
6.2,83022,78318,4634,1
6.3,83022,78326,4634,0
6.4,83030,78340,4634,8
6.5,83034,78346,4634,4
6.6,83038,78349,4634,4
6.7,83040,78356,4634,6
6.8,83044,78356,4634,2
6.9,83049,78358,4634,4
6.10,83057,78362,4634,8
6.11,83067,78368,4634,10
6.12,83093,78369,4634,26
6.13,83135,78372,4634,42
6.14,83185,78375,4634,50
6.15,83221,78378,4634,36
6.16,83266,78390,4634,45
6.17,83296,78396,4634,30
6.18,83328,78409,4634,32
6.19,83352,78413,4634,24
6.20,83380,78413,4634,28
6.21,83397,78418,4634,14
6.22,83418,78425,4634,21
6.23,83432,78428,4634,14
6.24,83449,78434,4634,17
6.25,83464,78441,4634,15
6.26,83483,78445,4634,19
6.27,83500,78455,4634,17
6.28,83516,78462,4634,16
6.29,83531,78469,4634,15
6.30,83535,78479,4634,4
7.1,83538,78487,4634,3
7.2,83545,78497,4634,7
7.3,83551,78509,4634,6
7.4,83559,78515,4634,8
7.5,83564,78518,4634,5
7.6,83571,78528,4634,7
7.7,83575,78548,4634,4
7.8,83586,78593,4634,11
7.9,83590,78609,4634,4
7.10,83591,78623,4634,2
7.11,83600,78634,4634,9
7.12,83602,78649,4634,2
7.13,83605,78675,4634,3
7.14,83611,78693,4634,6
7.15,83618,78719,4634,7
7.16,83631,78737,4634,9
7.17,83647,78761,4634,21
7.18,83661,78780,4634,14
7.19,83682,78803,4634,21
7.20,83696,78821,4634,14
7.21,83714,78844,4634,18
7.22,83742,78860,4634,28
7.23,83760,78878,4634,18
7.24,83794,78893,4634,34
7.25,83832,78911,4634,38
7.26,83891,78918,4634,59
7.27,83961,78937,4634,70
7.28,84061,78947,4634,100
7.29,83910,78715,4634,107
7.30,84036,78730,4634,126
7.31,84080,78745,4634,45
